기관명,대수,회기,의안번호,의안명,의안종류,발의일,발의자,발의자구분,공동발의여부,대표발의의원,공동발의의원,소관위원회,위원회상정일,위원회의결일,위원회처리결과,본회의상정일,본회의의결일,본회의처리결과,본회의회의록URL
남양주시의회,9,제298회,268,남양주시 공무직 고용안정과 권익보호에 관한 조례안,조례안,2023-10-11,이수련 김지훈(국) 한근수 박윤옥 이정애 김상수 전혜연 박은경 이진환 김지훈(민) 원주영 정현미,의회발의,Y,이수련,김지훈(국) 한근수 박윤옥 이정애 김상수 전혜연 박은경 이진환 김지훈(민) 원주영 정현미,자치행정위원회,2023-10-23,2023-10-23,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,269,남양주시 개인정보 보호 조례안,조례안,2023-10-11,김지훈(국) 이수련 한근수 이경숙 김동훈 박경원 전혜연 원주영 박은경 김지훈(민) 정현미,의회발의,Y,김지훈(국),이수련 한근수 이경숙 김동훈 박경원 전혜연 원주영 박은경 김지훈(민) 정현미,자치행정위원회,2023-10-23,2023-10-23,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,270,남양주시 장애인 전동보장구 보험 가입지원에 관한 조례안,조례안,2023-10-11,한송연 김영실 이상기 손정자 김지훈(민) 이수련 김상수 이진환 원주영 박윤옥,의회발의,Y,한송연,김영실 이상기 손정자 김지훈(민) 이수련 김상수 이진환 원주영 박윤옥,복지환경위원회,2023-10-23,2023-10-23,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,271,남양주시 폐기물처리시설 특별회계 설치 및 운용 조례 전부개정조례안,조례안,2023-10-11,이경숙 김영실 이상기 원주영 박경원 한근수 김동훈 박윤옥 전혜연 손정자,의회발의,Y,이경숙,김영실 이상기 원주영 박경원 한근수 김동훈 박윤옥 전혜연 손정자,복지환경위원회,2023-10-23,2023-10-23,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,272,남양주시 자율방범대 지원에 관한 조례 일부개정조례안,조례안,2023-10-11,김동훈 조성대 박경원 한근수 이정애 김상수 이진환 김지훈(국),의회발의,Y,김동훈,조성대 박경원 한근수 이정애 김상수 이진환 김지훈(국),도시교통위원회,2023-10-23,2023-10-23,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,273,남양주시 빈집 및 소규모주택 정비에 관한 조례 일부개정조례안,조례안,2023-10-11,김상수 조성대 이정애 이수련 김동훈 박경원 이진환 김지훈(민) 박은경,의회발의,Y,김상수,조성대 이정애 이수련 김동훈 박경원 이진환 김지훈(민) 박은경,도시교통위원회,2023-10-23,2023-10-23,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,274,남양주시 건축 조례 일부개정조례안,조례안,2023-10-11,박경원 조성대 김상수 김동훈 한근수 이정애 이진환 김지훈(민) 원주영,의회발의,Y,박경원,조성대 김상수 김동훈 한근수 이정애 이진환 김지훈(민) 원주영,,2023-10-23,2023-10-23,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,275,남양주시 정원문화 확산 및 진흥에 관한 조례안,조례안,2023-10-11,이진환 조성대 김동훈 한송연 손정자 이정애 정현미 박은경 이수련 전혜연 김상수 박경원,의회발의,Y,이진환,조성대 김동훈 한송연 손정자 이정애 정현미 박은경 이수련 전혜연 김상수 박경원,도시교통위원회,2023-10-23,2023-10-23,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,276,2024년 경기시청자미디어센터 운영 분담금 출연안,기타,2023-10-11,시장,시장발의,,,,자치행정위원회,2023-10-23,2023-10-23,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,277,남양주시 지방공무원 복무 조례 전부개정조례안,조례안,2023-10-11,시장,시장발의,,,,자치행정위원회,2023-10-23,2023-10-23,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,278,남양주도시공사 자본금 출자안,기타,2023-10-11,시장,시장발의,,,,자치행정위원회,2023-10-23,2023-10-23,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,279,남양주시 주민자치회 설치·운영에 관한 조례 일부개정조례안,조례안,2023-10-11,시장,시장발의,,,,자치행정위원회,2023-10-23,2023-10-23,수정가결,2023-10-24,2023-10-24,수정가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,280,2018년도 공유재산관리계획 변경안 - 별내 복합커뮤니티센터(2단계) 건립 - 별내 복합커뮤니티센터 주차타워 건립,기타,2023-10-11,시장,시장발의,,,,,2023-10-23,2023-10-23,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,281,2024년 경기신용보증재단 출연안(중소기업 특례보증),기타,2023-10-11,시장,시장발의,,,,,2023-10-23,2023-10-23,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,282,2024년 경기도 중소기업육성기금 출연안,기타,2023-10-11,시장,시장발의,,,,자치행정위원회,2023-10-23,2023-10-24,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,283,2024년 경기신용보증재단 출연안(소상공인 특례보증),기타,2023-10-11,시장,시장발의,,,,자치행정위원회,2023-10-23,2023-10-24,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,284,마석공원 민간위탁관리 재계약 동의안,동의안,2023-10-11,시장,시장발의,,,,자치행정위원회,2023-10-23,2023-10-25,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,285,2024년 한국지방세연구원 출연안,기타,2023-10-11,시장,시장발의,,,,자치행정위원회,2023-10-23,2023-10-25,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,286,남양주시 재난현장 통합자원봉사지원단 구성 및 운영 조례안,조례안,2023-10-11,시장,시장발의,,,,복지환경위원회,2023-10-23,2023-10-26,수정가결,2023-10-24,2023-10-24,수정가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,287,남양주시 문화의집 관리운영에 대한 민간위탁 동의안,동의안,2023-10-11,시장,시장발의,,,,복지환경위원회,2023-10-23,2023-10-26,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,288,남양주시 수질개선 특별회계 설치 및 운영 조례 일부개정조례안,조례안,2023-10-11,시장,시장발의,,,,복지환경위원회,2023-10-23,2023-10-27,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
남양주시의회,9,제298회,289,2024년 특별대책지역 수질보전정책협의회 출연안,기타,2023-10-11,시장,시장발의,,,,복지환경위원회,2023-10-23,2023-10-27,원안가결,2023-10-24,2023-10-24,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3365
